activity,superclass,class,step,organ,mechanism,keywords
Cycling,Physical Activity,Cycling,5,endocrine system,"Hormonal and metabolic signals adjust fuel use and recovery; overall, Strengthens leg muscles and cardiovascular function.","cycling, bike, spin"
Cycling,Physical Activity,Cycling,6,brain,"The brain monitors fatigue, coordination, and motivation, deciding whether to maintain or stop the activity.","cycling, bike, spin"
Hiking,Physical Activity,Hiking,1,skeletal muscle,"Skeletal muscle fibers contract repeatedly, sharply increasing local ATP demand and heat production.","hiking, mountain, trail"
Hiking,Physical Activity,Hiking,2,heart,The heart increases rate and stroke volume to deliver more oxygenated blood to active muscles.,"hiking, mountain, trail"
Hiking,Physical Activity,Hiking,3,lungs,"Breathing becomes deeper and faster, enhancing gas exchange to keep up with oxygen demand and CO2 removal.","hiking, mountain, trail"
Hiking,Physical Activity,Hiking,4,blood vessels,"Blood vessels in working muscles dilate while some others constrict, redistributing blood flow.","hiking, mountain, trail"
Hiking,Physical Activity,Hiking,5,endocrine system,"Hormonal and metabolic signals adjust fuel use and recovery; overall, Increases red blood cell production under mild hypoxia.","hiking, mountain, trail"
Hiking,Physical Activity,Hiking,6,brain,"The brain monitors fatigue, coordination, and motivation, deciding whether to maintain or stop the activity.","hiking, mountain, trail"
Dancing,Physical Activity,Dancing,1,skeletal muscle,"Skeletal muscle fibers contract repeatedly, sharply increasing local ATP demand and heat production.","dance, rhythm, music"
Dancing,Physical Activity,Dancing,2,heart,The heart increases rate and stroke volume to deliver more oxygenated blood to active muscles.,"dance, rhythm, music"
Dancing,Physical Activity,Dancing,3,lungs,"Breathing becomes deeper and faster, enhancing gas exchange to keep up with oxygen demand and CO2 removal.","dance, rhythm, music"
Dancing,Physical Activity,Dancing,4,blood vessels,"Blood vessels in working muscles dilate while some others constrict, redistributing blood flow.","dance, rhythm, music"
Dancing,Physical Activity,Dancing,5,endocrine system,"Hormonal and metabolic signals adjust fuel use and recovery; overall, Improves coordination and releases dopamine with rhythm.","dance, rhythm, music"
Dancing,Physical Activity,Dancing,6,brain,"The brain monitors fatigue, coordination, and motivation, deciding whether to maintain or stop the activity.","dance, rhythm, music"
Sedentary Behavior,Physical Activity,Sedentary Behavior,1,skeletal muscle,"Skeletal muscle fibers contract repeatedly, sharply increasing local ATP demand and heat production.","sitting, desk, inactive, still"
Sedentary Behavior,Physical Activity,Sedentary Behavior,2,heart,The heart increases rate and stroke volume to deliver more oxygenated blood to active muscles.,"sitting, desk, inactive, still"
Sedentary Behavior,Physical Activity,Sedentary Behavior,3,lungs,"Breathing becomes deeper and faster, enhancing gas exchange to keep up with oxygen demand and CO2 removal.","sitting, desk, inactive, still"
Sedentary Behavior,Physical Activity,Sedentary Behavior,4,blood vessels,"Blood vessels in working muscles dilate while some others constrict, redistributing blood flow.","sitting, desk, inactive, still"
Sedentary Behavior,Physical Activity,Sedentary Behavior,5,endocrine system,"Hormonal and metabolic signals adjust fuel use and recovery; overall, Lack of movement reduces metabolism and insulin sensitivity.","sitting, desk, inactive, still"
Sedentary Behavior,Physical Activity,Sedentary Behavior,6,brain,"The brain monitors fatigue, coordination, and motivation, deciding whether to maintain or stop the activity.","sitting, desk, inactive, still"
Sleep Deprivation,Sleep & Rest,Sleep Deprivation,1,brain,"Neural networks shift activity patterns, changing arousal level and sensory responsiveness.","insomnia, sleepless, late night"
Sleep Deprivation,Sleep & Rest,Sleep Deprivation,2,endocrine system,"Hormone release patterns adjust to support tissue repair, circadian alignment, and metabolic balance.","insomnia, sleepless, late night"
Sleep Deprivation,Sleep & Rest,Sleep Deprivation,3,immune system,Immune cells rebalance inflammatory and defensive responses during rest.,"insomnia, sleepless, late night"
Sleep Deprivation,Sleep & Rest,Sleep Deprivation,4,cardiovascular system,"Heart rate and blood pressure adapt to the rest state, reducing vascular strain.","insomnia, sleepless, late night"
Sleep Deprivation,Sleep & Rest,Sleep Deprivation,5,brain,"Within the brain, the specific effect of this rest-related behavior is: Raises cortisol, weakens immunity and memory.","insomnia, sleepless, late night"
Sleep Deprivation,Sleep & Rest,Sleep Deprivation,6,whole body,Energy balance and cellular maintenance recalibrate across organ systems.,"insomnia, sleepless, late night"
Nap,Sleep & Rest,Nap,1,brain,"Neural networks shift activity patterns, changing arousal level and sensory responsiveness.","nap, power nap, rest"
Nap,Sleep & Rest,Nap,2,endocrine system,"Hormone release patterns adjust to support tissue repair, circadian alignment, and metabolic balance.","nap, power nap, rest"
Nap,Sleep & Rest,Nap,3,immune system,Immune cells rebalance inflammatory and defensive responses during rest.,"nap, power nap, rest"
Nap,Sleep & Rest,Nap,4,cardiovascular system,"Heart rate and blood pressure adapt to the rest state, reducing vascular strain.","nap, power nap, rest"
Nap,Sleep & Rest,Nap,5,brain,"Within the brain, the specific effect of this rest-related behavior is: Short rest improves alertness and mood.","nap, power nap, rest"
Nap,Sleep & Rest,Nap,6,whole body,Energy balance and cellular maintenance recalibrate across organ systems.,"nap, power nap, rest"
Deep Sleep,Sleep & Rest,Deep Sleep,1,brain,"Neural networks shift activity patterns, changing arousal level and sensory responsiveness.","deep sleep, night, rest"
Deep Sleep,Sleep & Rest,Deep Sleep,2,endocrine system,"Hormone release patterns adjust to support tissue repair, circadian alignment, and metabolic balance.","deep sleep, night, rest"
Deep Sleep,Sleep & Rest,Deep Sleep,3,immune system,Immune cells rebalance inflammatory and defensive responses during rest.,"deep sleep, night, rest"
Deep Sleep,Sleep & Rest,Deep Sleep,4,cardiovascular system,"Heart rate and blood pressure adapt to the rest state, reducing vascular strain.","deep sleep, night, rest"
Deep Sleep,Sleep & Rest,Deep Sleep,5,brain,"Within the brain, the specific effect of this rest-related behavior is: Promotes growth hormone release and tissue repair.","deep sleep, night, rest"
Deep Sleep,Sleep & Rest,Deep Sleep,6,whole body,Energy balance and cellular maintenance recalibrate across organ systems.,"deep sleep, night, rest"
Insomnia,Sleep & Rest,Insomnia,1,brain,"Neural networks shift activity patterns, changing arousal level and sensory responsiveness.","insomnia, sleepless, stress"
Insomnia,Sleep & Rest,Insomnia,2,endocrine system,"Hormone release patterns adjust to support tissue repair, circadian alignment, and metabolic balance.","insomnia, sleepless, stress"
Insomnia,Sleep & Rest,Insomnia,3,immune system,Immune cells rebalance inflammatory and defensive responses during rest.,"insomnia, sleepless, stress"
Insomnia,Sleep & Rest,Insomnia,4,cardiovascular system,"Heart rate and blood pressure adapt to the rest state, reducing vascular strain.","insomnia, sleepless, stress"
Insomnia,Sleep & Rest,Insomnia,5,brain,"Within the brain, the specific effect of this rest-related behavior is: Disrupts circadian rhythm and lowers melatonin.","insomnia, sleepless, stress"
Insomnia,Sleep & Rest,Insomnia,6,whole body,Energy balance and cellular maintenance recalibrate across organ systems.,"insomnia, sleepless, stress"
Meditation,Sleep & Rest,Meditation,1,brain,"Neural networks shift activity patterns, changing arousal level and sensory responsiveness.","meditation, breathing, mindfulness"
Meditation,Sleep & Rest,Meditation,2,endocrine system,"Hormone release patterns adjust to support tissue repair, circadian alignment, and metabolic balance.","meditation, breathing, mindfulness"
Meditation,Sleep & Rest,Meditation,3,immune system,Immune cells rebalance inflammatory and defensive responses during rest.,"meditation, breathing, mindfulness"
Meditation,Sleep & Rest,Meditation,4,cardiovascular system,"Heart rate and blood pressure adapt to the rest state, reducing vascular strain.","meditation, breathing, mindfulness"
Meditation,Sleep & Rest,Meditation,5,brain,"Within the brain, the specific effect of this rest-related behavior is: Increases alpha-wave activity, calming the mind.","meditation, breathing, mindfulness"
Meditation,Sleep & Rest,Meditation,6,whole body,Energy balance and cellular maintenance recalibrate across organ systems.,"meditation, breathing, mindfulness"
Irregular Sleep,Sleep & Rest,Irregular Sleep,1,brain,"Neural networks shift activity patterns, changing arousal level and sensory responsiveness.","irregular, short sleep, fatigue"
Irregular Sleep,Sleep & Rest,Irregular Sleep,2,endocrine system,"Hormone release patterns adjust to support tissue repair, circadian alignment, and metabolic balance.","irregular, short sleep, fatigue"
Irregular Sleep,Sleep & Rest,Irregular Sleep,3,immune system,Immune cells rebalance inflammatory and defensive responses during rest.,"irregular, short sleep, fatigue"
Irregular Sleep,Sleep & Rest,Irregular Sleep,4,cardiovascular system,"Heart rate and blood pressure adapt to the rest state, reducing vascular strain.","irregular, short sleep, fatigue"
Irregular Sleep,Sleep & Rest,Irregular Sleep,5,brain,"Within the brain, the specific effect of this rest-related behavior is: Fragmented sleep reduces cognition and energy.","irregular, short sleep, fatigue"
Irregular Sleep,Sleep & Rest,Irregular Sleep,6,whole body,Energy balance and cellular maintenance recalibrate across organ systems.,"irregular, short sleep, fatigue"
Consistent Schedule,Sleep & Rest,Consistent Schedule,1,brain,"Neural networks shift activity patterns, changing arousal level and sensory responsiveness.","early sleep, regular, schedule"
Consistent Schedule,Sleep & Rest,Consistent Schedule,2,endocrine system,"Hormone release patterns adjust to support tissue repair, circadian alignment, and metabolic balance.","early sleep, regular, schedule"
Consistent Schedule,Sleep & Rest,Consistent Schedule,3,immune system,Immune cells rebalance inflammatory and defensive responses during rest.,"early sleep, regular, schedule"
Consistent Schedule,Sleep & Rest,Consistent Schedule,4,cardiovascular system,"Heart rate and blood pressure adapt to the rest state, reducing vascular strain.","early sleep, regular, schedule"
Consistent Schedule,Sleep & Rest,Consistent Schedule,5,brain,"Within the brain, the specific effect of this rest-related behavior is: Stabilizes circadian rhythm and hormone secretion.","early sleep, regular, schedule"
Consistent Schedule,Sleep & Rest,Consistent Schedule,6,whole body,Energy balance and cellular maintenance recalibrate across organ systems.,"early sleep, regular, schedule"
Screen Before Bed,Sleep & Rest,Screen Before Bed,1,brain,"Neural networks shift activity patterns, changing arousal level and sensory responsiveness.","phone, screen, TV"
Screen Before Bed,Sleep & Rest,Screen Before Bed,2,endocrine system,"Hormone release patterns adjust to support tissue repair, circadian alignment, and metabolic balance.","phone, screen, TV"
Screen Before Bed,Sleep & Rest,Screen Before Bed,3,immune system,Immune cells rebalance inflammatory and defensive responses during rest.,"phone, screen, TV"
Screen Before Bed,Sleep & Rest,Screen Before Bed,4,cardiovascular system,"Heart rate and blood pressure adapt to the rest state, reducing vascular strain.","phone, screen, TV"
Screen Before Bed,Sleep & Rest,Screen Before Bed,5,brain,"Within the brain, the specific effect of this rest-related behavior is: Blue light suppresses melatonin and delays sleep onset.","phone, screen, TV"
Screen Before Bed,Sleep & Rest,Screen Before Bed,6,whole body,Energy balance and cellular maintenance recalibrate across organ systems.,"phone, screen, TV"
Drinking Before Bed,Sleep & Rest,Drinking Before Bed,1,brain,"Neural networks shift activity patterns, changing arousal level and sensory responsiveness.","wine, nightcap, drink"
Drinking Before Bed,Sleep & Rest,Drinking Before Bed,2,endocrine system,"Hormone release patterns adjust to support tissue repair, circadian alignment, and metabolic balance.","wine, nightcap, drink"
Drinking Before Bed,Sleep & Rest,Drinking Before Bed,3,immune system,Immune cells rebalance inflammatory and defensive responses during rest.,"wine, nightcap, drink"
Drinking Before Bed,Sleep & Rest,Drinking Before Bed,4,cardiovascular system,"Heart rate and blood pressure adapt to the rest state, reducing vascular strain.","wine, nightcap, drink"
Drinking Before Bed,Sleep & Rest,Drinking Before Bed,5,brain,"Within the brain, the specific effect of this rest-related behavior is: Alcohol disrupts REM cycles, lowering sleep quality.","wine, nightcap, drink"
Drinking Before Bed,Sleep & Rest,Drinking Before Bed,6,whole body,Energy balance and cellular maintenance recalibrate across organ systems.,"wine, nightcap, drink"
Dreaming,Sleep & Rest,Dreaming,1,brain,"Neural networks shift activity patterns, changing arousal level and sensory responsiveness.","dream, REM, night"
Dreaming,Sleep & Rest,Dreaming,2,endocrine system,"Hormone release patterns adjust to support tissue repair, circadian alignment, and metabolic balance.","dream, REM, night"
Dreaming,Sleep & Rest,Dreaming,3,immune system,Immune cells rebalance inflammatory and defensive responses during rest.,"dream, REM, night"
Dreaming,Sleep & Rest,Dreaming,4,cardiovascular system,"Heart rate and blood pressure adapt to the rest state, reducing vascular strain.","dream, REM, night"
Dreaming,Sleep & Rest,Dreaming,5,brain,"Within the brain, the specific effect of this rest-related behavior is: REM phase integrates emotional memories.","dream, REM, night"
Dreaming,Sleep & Rest,Dreaming,6,whole body,Energy balance and cellular maintenance recalibrate across organ systems.,"dream, REM, night"
Stress,Emotional & Mental,Stress,1,limbic system,Emotion-related circuits activate in response to internal thoughts or external triggers.,"stress, work, anxiety"
Stress,Emotional & Mental,Stress,2,prefrontal cortex,"The prefrontal cortex interprets and modulates emotional signals, shaping conscious experience.","stress, work, anxiety"
Stress,Emotional & Mental,Stress,3,autonomic nervous system,"Autonomic outputs adjust heart rate, gut motility, and respiration to match the emotional state.","stress, work, anxiety"
Stress,Emotional & Mental,Stress,4,endocrine system,"Hormonal axes respond over slower timescales; in this emotional condition, Activates HPA axis and raises cortisol levels.","stress, work, anxiety"
Stress,Emotional & Mental,Stress,5,immune system,Prolonged emotional patterns influence inflammatory tone and immune readiness.,"stress, work, anxiety"
Stress,Emotional & Mental,Stress,6,whole body,Repeated emotional states leave lasting physiological traces that shape resilience or vulnerability.,"stress, work, anxiety"
Love,Emotional & Mental,Love,1,limbic system,Emotion-related circuits activate in response to internal thoughts or external triggers.,"love, relationship, affection"
Love,Emotional & Mental,Love,2,prefrontal cortex,"The prefrontal cortex interprets and modulates emotional signals, shaping conscious experience.","love, relationship, affection"
Love,Emotional & Mental,Love,3,autonomic nervous system,"Autonomic outputs adjust heart rate, gut motility, and respiration to match the emotional state.","love, relationship, affection"
Love,Emotional & Mental,Love,4,endocrine system,"Hormonal axes respond over slower timescales; in this emotional condition, Boosts oxytocin and dopamine, creating bonding and joy.","love, relationship, affection"
Love,Emotional & Mental,Love,5,immune system,Prolonged emotional patterns influence inflammatory tone and immune readiness.,"love, relationship, affection"
Love,Emotional & Mental,Love,6,whole body,Repeated emotional states leave lasting physiological traces that shape resilience or vulnerability.,"love, relationship, affection"
Excitement,Emotional & Mental,Excitement,1,limbic system,Emotion-related circuits activate in response to internal thoughts or external triggers.,"excitement, joy, thrill"
Excitement,Emotional & Mental,Excitement,2,prefrontal cortex,"The prefrontal cortex interprets and modulates emotional signals, shaping conscious experience.","excitement, joy, thrill"
Excitement,Emotional & Mental,Excitement,3,autonomic nervous system,"Autonomic outputs adjust heart rate, gut motility, and respiration to match the emotional state.","excitement, joy, thrill"
Excitement,Emotional & Mental,Excitement,4,endocrine system,"Hormonal axes respond over slower timescales; in this emotional condition, Dopamine and norepinephrine increase focus and energy.","excitement, joy, thrill"
Excitement,Emotional & Mental,Excitement,5,immune system,Prolonged emotional patterns influence inflammatory tone and immune readiness.,"excitement, joy, thrill"
Excitement,Emotional & Mental,Excitement,6,whole body,Repeated emotional states leave lasting physiological traces that shape resilience or vulnerability.,"excitement, joy, thrill"
Sadness,Emotional & Mental,Sadness,1,limbic system,Emotion-related circuits activate in response to internal thoughts or external triggers.,"sadness, cry, down"
Sadness,Emotional & Mental,Sadness,2,prefrontal cortex,"The prefrontal cortex interprets and modulates emotional signals, shaping conscious experience.","sadness, cry, down"
Sadness,Emotional & Mental,Sadness,3,autonomic nervous system,"Autonomic outputs adjust heart rate, gut motility, and respiration to match the emotional state.","sadness, cry, down"
Sadness,Emotional & Mental,Sadness,4,endocrine system,"Hormonal axes respond over slower timescales; in this emotional condition, Low serotonin leads to mood decline.","sadness, cry, down"
Sadness,Emotional & Mental,Sadness,5,immune system,Prolonged emotional patterns influence inflammatory tone and immune readiness.,"sadness, cry, down"
Sadness,Emotional & Mental,Sadness,6,whole body,Repeated emotional states leave lasting physiological traces that shape resilience or vulnerability.,"sadness, cry, down"
Anxiety,Emotional & Mental,Anxiety,1,limbic system,Emotion-related circuits activate in response to internal thoughts or external triggers.,"worry, anxiety, nervous"
Anxiety,Emotional & Mental,Anxiety,2,prefrontal cortex,"The prefrontal cortex interprets and modulates emotional signals, shaping conscious experience.","worry, anxiety, nervous"
Anxiety,Emotional & Mental,Anxiety,3,autonomic nervous system,"Autonomic outputs adjust heart rate, gut motility, and respiration to match the emotional state.","worry, anxiety, nervous"
Anxiety,Emotional & Mental,Anxiety,4,endocrine system,"Hormonal axes respond over slower timescales; in this emotional condition, Sympathetic activation raises heart rate and tension.","worry, anxiety, nervous"
Anxiety,Emotional & Mental,Anxiety,5,immune system,Prolonged emotional patterns influence inflammatory tone and immune readiness.,"worry, anxiety, nervous"
Anxiety,Emotional & Mental,Anxiety,6,whole body,Repeated emotional states leave lasting physiological traces that shape resilience or vulnerability.,"worry, anxiety, nervous"
Anger,Emotional & Mental,Anger,1,limbic system,Emotion-related circuits activate in response to internal thoughts or external triggers.,"anger, rage, upset"
Anger,Emotional & Mental,Anger,2,prefrontal cortex,"The prefrontal cortex interprets and modulates emotional signals, shaping conscious experience.","anger, rage, upset"
Anger,Emotional & Mental,Anger,3,autonomic nervous system,"Autonomic outputs adjust heart rate, gut motility, and respiration to match the emotional state.","anger, rage, upset"
Anger,Emotional & Mental,Anger,4,endocrine system,"Hormonal axes respond over slower timescales; in this emotional condition, Adrenaline surge prepares body for fight-or-flight.","anger, rage, upset"
Anger,Emotional & Mental,Anger,5,immune system,Prolonged emotional patterns influence inflammatory tone and immune readiness.,"anger, rage, upset"
Anger,Emotional & Mental,Anger,6,whole body,Repeated emotional states leave lasting physiological traces that shape resilience or vulnerability.,"anger, rage, upset"
Calmness,Emotional & Mental,Calmness,1,limbic system,Emotion-related circuits activate in response to internal thoughts or external triggers.,"calm, peace, relaxed"
Calmness,Emotional & Mental,Calmness,2,prefrontal cortex,"The prefrontal cortex interprets and modulates emotional signals, shaping conscious experience.","calm, peace, relaxed"
Calmness,Emotional & Mental,Calmness,3,autonomic nervous system,"Autonomic outputs adjust heart rate, gut motility, and respiration to match the emotional state.","calm, peace, relaxed"
Calmness,Emotional & Mental,Calmness,4,endocrine system,"Hormonal axes respond over slower timescales; in this emotional condition, Parasympathetic dominance lowers heart rate and stress.","calm, peace, relaxed"
Calmness,Emotional & Mental,Calmness,5,immune system,Prolonged emotional patterns influence inflammatory tone and immune readiness.,"calm, peace, relaxed"
Calmness,Emotional & Mental,Calmness,6,whole body,Repeated emotional states leave lasting physiological traces that shape resilience or vulnerability.,"calm, peace, relaxed"
Shame,Emotional & Mental,Shame,1,limbic system,Emotion-related circuits activate in response to internal thoughts or external triggers.,"shame, blush, embarrassed"
Shame,Emotional & Mental,Shame,2,prefrontal cortex,"The prefrontal cortex interprets and modulates emotional signals, shaping conscious experience.","shame, blush, embarrassed"
Shame,Emotional & Mental,Shame,3,autonomic nervous system,"Autonomic outputs adjust heart rate, gut motility, and respiration to match the emotional state.","shame, blush, embarrassed"
Shame,Emotional & Mental,Shame,4,endocrine system,"Hormonal axes respond over slower timescales; in this emotional condition, Causes sympathetic flush and avoidance behavior.","shame, blush, embarrassed"
Shame,Emotional & Mental,Shame,5,immune system,Prolonged emotional patterns influence inflammatory tone and immune readiness.,"shame, blush, embarrassed"
Shame,Emotional & Mental,Shame,6,whole body,Repeated emotional states leave lasting physiological traces that shape resilience or vulnerability.,"shame, blush, embarrassed"
Focus,Emotional & Mental,Focus,1,limbic system,Emotion-related circuits activate in response to internal thoughts or external triggers.,"focus, concentration, task"
Focus,Emotional & Mental,Focus,2,prefrontal cortex,"The prefrontal cortex interprets and modulates emotional signals, shaping conscious experience.","focus, concentration, task"
Focus,Emotional & Mental,Focus,3,autonomic nervous system,"Autonomic outputs adjust heart rate, gut motility, and respiration to match the emotional state.","focus, concentration, task"
Focus,Emotional & Mental,Focus,4,endocrine system,"Hormonal axes respond over slower timescales; in this emotional condition, Dopamine circuits promote flow and sustained attention.","focus, concentration, task"
Focus,Emotional & Mental,Focus,5,immune system,Prolonged emotional patterns influence inflammatory tone and immune readiness.,"focus, concentration, task"
Focus,Emotional & Mental,Focus,6,whole body,Repeated emotional states leave lasting physiological traces that shape resilience or vulnerability.,"focus, concentration, task"
Loneliness,Emotional & Mental,Loneliness,1,limbic system,Emotion-related circuits activate in response to internal thoughts or external triggers.,"lonely, alone, isolated"
Loneliness,Emotional & Mental,Loneliness,2,prefrontal cortex,"The prefrontal cortex interprets and modulates emotional signals, shaping conscious experience.","lonely, alone, isolated"
Loneliness,Emotional & Mental,Loneliness,3,autonomic nervous system,"Autonomic outputs adjust heart rate, gut motility, and respiration to match the emotional state.","lonely, alone, isolated"
Loneliness,Emotional & Mental,Loneliness,4,endocrine system,"Hormonal axes respond over slower timescales; in this emotional condition, Low oxytocin heightens social craving and anxiety.","lonely, alone, isolated"
Loneliness,Emotional & Mental,Loneliness,5,immune system,Prolonged emotional patterns influence inflammatory tone and immune readiness.,"lonely, alone, isolated"
Loneliness,Emotional & Mental,Loneliness,6,whole body,Repeated emotional states leave lasting physiological traces that shape resilience or vulnerability.,"lonely, alone, isolated"
Sunlight,Environmental Stimulus,Sunlight,1,sensory receptors,Environmental signals activate specialized sensory receptors.,"sunlight, sunbath, outdoor"
Sunlight,Environmental Stimulus,Sunlight,2,brain,Sensory information is interpreted and compared with expectations.,"sunlight, sunbath, outdoor"
Sunlight,Environmental Stimulus,Sunlight,3,autonomic nervous system,Autonomic responses adjust internal activity to accommodate the stimulus.,"sunlight, sunbath, outdoor"
Sunlight,Environmental Stimulus,Sunlight,4,local tissues,"Cells at the exposed site respond directly; for this stimulus, UV stimulates vitamin D synthesis and serotonin release.","sunlight, sunbath, outdoor"
Sunlight,Environmental Stimulus,Sunlight,5,endocrine system,"If prolonged, hormonal systems adjust to help the body cope.","sunlight, sunbath, outdoor"
Sunlight,Environmental Stimulus,Sunlight,6,whole body,Organ systems coordinate to adapt to environmental changes and restore balance.,"sunlight, sunbath, outdoor"
Cold Exposure,Environmental Stimulus,Cold Exposure,1,sensory receptors,Environmental signals activate specialized sensory receptors.,"cold, winter, ice bath"
Cold Exposure,Environmental Stimulus,Cold Exposure,2,brain,Sensory information is interpreted and compared with expectations.,"cold, winter, ice bath"
Cold Exposure,Environmental Stimulus,Cold Exposure,3,autonomic nervous system,Autonomic responses adjust internal activity to accommodate the stimulus.,"cold, winter, ice bath"
Cold Exposure,Environmental Stimulus,Cold Exposure,4,local tissues,"Cells at the exposed site respond directly; for this stimulus, Activates brown fat thermogenesis, increasing metabolism.","cold, winter, ice bath"
Cold Exposure,Environmental Stimulus,Cold Exposure,5,endocrine system,"If prolonged, hormonal systems adjust to help the body cope.","cold, winter, ice bath"
Cold Exposure,Environmental Stimulus,Cold Exposure,6,whole body,Organ systems coordinate to adapt to environmental changes and restore balance.,"cold, winter, ice bath"
Heat Exposure,Environmental Stimulus,Heat Exposure,1,sensory receptors,Environmental signals activate specialized sensory receptors.,"heat, summer, hot"
Heat Exposure,Environmental Stimulus,Heat Exposure,2,brain,Sensory information is interpreted and compared with expectations.,"heat, summer, hot"
Heat Exposure,Environmental Stimulus,Heat Exposure,3,autonomic nervous system,Autonomic responses adjust internal activity to accommodate the stimulus.,"heat, summer, hot"
Heat Exposure,Environmental Stimulus,Heat Exposure,4,local tissues,"Cells at the exposed site respond directly; for this stimulus, Causes vasodilation and sweating to regulate temperature.","heat, summer, hot"
Heat Exposure,Environmental Stimulus,Heat Exposure,5,endocrine system,"If prolonged, hormonal systems adjust to help the body cope.","heat, summer, hot"
Heat Exposure,Environmental Stimulus,Heat Exposure,6,whole body,Organ systems coordinate to adapt to environmental changes and restore balance.,"heat, summer, hot"
Noise,Environmental Stimulus,Noise,1,sensory receptors,Environmental signals activate specialized sensory receptors.,"noise, loud, construction"
Noise,Environmental Stimulus,Noise,2,brain,Sensory information is interpreted and compared with expectations.,"noise, loud, construction"
Noise,Environmental Stimulus,Noise,3,autonomic nervous system,Autonomic responses adjust internal activity to accommodate the stimulus.,"noise, loud, construction"
Noise,Environmental Stimulus,Noise,4,local tissues,"Cells at the exposed site respond directly; for this stimulus, Triggers sympathetic response and stress hormones.","noise, loud, construction"
Noise,Environmental Stimulus,Noise,5,endocrine system,"If prolonged, hormonal systems adjust to help the body cope.","noise, loud, construction"
Noise,Environmental Stimulus,Noise,6,whole body,Organ systems coordinate to adapt to environmental changes and restore balance.,"noise, loud, construction"
Air Pollution,Environmental Stimulus,Air Pollution,1,sensory receptors,Environmental signals activate specialized sensory receptors.,"smog, pollution, smoke"
Air Pollution,Environmental Stimulus,Air Pollution,2,brain,Sensory information is interpreted and compared with expectations.,"smog, pollution, smoke"
Air Pollution,Environmental Stimulus,Air Pollution,3,autonomic nervous system,Autonomic responses adjust internal activity to accommodate the stimulus.,"smog, pollution, smoke"
Air Pollution,Environmental Stimulus,Air Pollution,4,local tissues,"Cells at the exposed site respond directly; for this stimulus, Inhaled particles cause oxidative stress and inflammation.","smog, pollution, smoke"
Air Pollution,Environmental Stimulus,Air Pollution,5,endocrine system,"If prolonged, hormonal systems adjust to help the body cope.","smog, pollution, smoke"
Air Pollution,Environmental Stimulus,Air Pollution,6,whole body,Organ systems coordinate to adapt to environmental changes and restore balance.,"smog, pollution, smoke"
Barometric Change,Environmental Stimulus,Barometric Change,1,sensory receptors,Environmental signals activate specialized sensory receptors.,"pressure, weather, storm"
Barometric Change,Environmental Stimulus,Barometric Change,2,brain,Sensory information is interpreted and compared with expectations.,"pressure, weather, storm"
Barometric Change,Environmental Stimulus,Barometric Change,3,autonomic nervous system,Autonomic responses adjust internal activity to accommodate the stimulus.,"pressure, weather, storm"
Barometric Change,Environmental Stimulus,Barometric Change,4,local tissues,"Cells at the exposed site respond directly; for this stimulus, Low pressure affects oxygen and headaches.","pressure, weather, storm"
Barometric Change,Environmental Stimulus,Barometric Change,5,endocrine system,"If prolonged, hormonal systems adjust to help the body cope.","pressure, weather, storm"
Barometric Change,Environmental Stimulus,Barometric Change,6,whole body,Organ systems coordinate to adapt to environmental changes and restore balance.,"pressure, weather, storm"
Humidity,Environmental Stimulus,Humidity,1,sensory receptors,Environmental signals activate specialized sensory receptors.,"humidity, damp, muggy"
Humidity,Environmental Stimulus,Humidity,2,brain,Sensory information is interpreted and compared with expectations.,"humidity, damp, muggy"
Humidity,Environmental Stimulus,Humidity,3,autonomic nervous system,Autonomic responses adjust internal activity to accommodate the stimulus.,"humidity, damp, muggy"
Humidity,Environmental Stimulus,Humidity,4,local tissues,"Cells at the exposed site respond directly; for this stimulus, High humidity disrupts thermal regulation.","humidity, damp, muggy"
Humidity,Environmental Stimulus,Humidity,5,endocrine system,"If prolonged, hormonal systems adjust to help the body cope.","humidity, damp, muggy"
Humidity,Environmental Stimulus,Humidity,6,whole body,Organ systems coordinate to adapt to environmental changes and restore balance.,"humidity, damp, muggy"
Ocean Air,Environmental Stimulus,Ocean Air,1,sensory receptors,Environmental signals activate specialized sensory receptors.,"beach, sea breeze, coast"
Ocean Air,Environmental Stimulus,Ocean Air,2,brain,Sensory information is interpreted and compared with expectations.,"beach, sea breeze, coast"
Ocean Air,Environmental Stimulus,Ocean Air,3,autonomic nervous system,Autonomic responses adjust internal activity to accommodate the stimulus.,"beach, sea breeze, coast"
Ocean Air,Environmental Stimulus,Ocean Air,4,local tissues,"Cells at the exposed site respond directly; for this stimulus, Negative ions promote relaxation and breathing ease.","beach, sea breeze, coast"
Ocean Air,Environmental Stimulus,Ocean Air,5,endocrine system,"If prolonged, hormonal systems adjust to help the body cope.","beach, sea breeze, coast"
Ocean Air,Environmental Stimulus,Ocean Air,6,whole body,Organ systems coordinate to adapt to environmental changes and restore balance.,"beach, sea breeze, coast"
Pollen Exposure,Environmental Stimulus,Pollen Exposure,1,sensory receptors,Environmental signals activate specialized sensory receptors.,"pollen, spring, allergy"
Pollen Exposure,Environmental Stimulus,Pollen Exposure,2,brain,Sensory information is interpreted and compared with expectations.,"pollen, spring, allergy"
Pollen Exposure,Environmental Stimulus,Pollen Exposure,3,autonomic nervous system,Autonomic responses adjust internal activity to accommodate the stimulus.,"pollen, spring, allergy"
